"Pager not available.","Paginierung nicht verfügbar."
"The :attribute is required",""":attribute"" ist ein Pflichtfeld."
"The :attribute is not valid email",""":attribute"" ist keine gültige E-Mail."
"The :attribute only allows alphabet characters","The :attribute only allows alphabet characters"
"The :attribute must be numeric","The :attribute must be numeric"
"The :attribute only allows alphabet and numeric","The :attribute only allows alphabet and numeric"
"The :attribute only allows a-z, 0-9, _ and -","The :attribute only allows a-z, 0-9, _ and -"
"The :attribute may only allows alphabet and spaces","The :attribute may only allows alphabet and spaces"
"The :attribute only allows :allowed_values","The :attribute only allows :allowed_values"
"The :attribute is not allowing :disallowed_values","The :attribute is not allowing :disallowed_values"
"The :attribute minimum is :min","The :attribute minimum is :min"
"The :attribute maximum is :max","The :attribute maximum is :max"
"The :attribute must be between :min and :max","The :attribute must be between :min and :max"
"The :attribute is not valid url","The :attribute is not valid url"
"The :attribute must be integer","The :attribute must be integer"
"The :attribute must be a boolean","The :attribute must be a boolean"
"The :attribute is not valid IP Address","The :attribute is not valid IP Address"
"The :attribute is not valid IPv4 Address","The :attribute is not valid IPv4 Address"
"The :attribute is not valid IPv6 Address","The :attribute is not valid IPv6 Address"
"The :attribute must be a :allowed_extensions file","The :attribute must be a :allowed_extensions file"
"The :attribute must be array","The :attribute must be array"
"The :attribute must be same with :field","The :attribute must be same with :field"
"The :attribute is not valid format","The :attribute is not valid format"
"The :attribute is not valid date format","The :attribute is not valid date format"
"The :attribute must be accepted","The :attribute must be accepted"
"The :attribute must be present","The :attribute must be present"
"The :attribute must be different with :field","The :attribute must be different with :field"
"The :attribute is not valid uploaded file","The :attribute is not valid uploaded file"
"The :attribute file type must be :allowed_types","Dieser Dateityp ist nicht erlaubt. Erlaubte Formate:  :allowed_types"
"The :attribute is not valid","The :attribute is not valid"
"The :attribute must be a date before :time.","The :attribute must be a date before :time."
"The :attribute must be a date after :time.","The :attribute must be a date after :time."
"The :attribute must be lowercase","The :attribute must be lowercase"
"The :attribute must be uppercase","The :attribute must be uppercase"
"The :attribute must be a valid JSON string","The :attribute must be a valid JSON string"
"The :attribute must be numeric and must have an exact length of :length","The :attribute must be numeric and must have an exact length of :length"
"The :attribute must have a length between the given :min and :max","The :attribute must have a length between the given :min and :max"
"The :attribute default is :default","The :attribute default is :default"
"The :attribute is invalid","The :attribute is invalid"